Value Date,Description,Debit,Credit,Reference,Balance
2026-05-18,Amazon Web Services — Cloud infrastructure invoice,15000.00,,UTR240518001,1007500.50
2026-05-19,Amazon Web Services — Support & licensing fees,7500.50,,UTR240519002,1000000.00
2026-05-20,Incoming wire — ACME HQ settlement,,55000.00,FT26052000789,1055000.00
2026-05-21,Office lease — Dubai Media City Q2 2026,28500.00,,UTR260521004,1026500.00
2026-05-22,Emirates NBD — Monthly bank service charges,350.00,,CHG-260522-01,1026150.00
2026-05-23,Incoming remittance — Stellar Gulf Trading,,22000.00,FT26052300112,1048150.00
2026-05-24,DEWA utility bill — May 2026,4750.00,,DEWA-260524-A,1043400.00
2026-05-25,Staff expense reimbursement — Q2 batch,6200.00,,EXP-260525-001,1037200.00
2026-05-26,Incoming wire — Beta Software intercompany,,18500.00,FT26052600445,1055700.00
2026-05-26,Etisalat telecom — May 2026,1200.00,,ETIS-260526-01,1054500.00
